WptName,GR(6),Hill Name,Height,GridZN,GridEast,GridNorth,Latitude,Longitude,Prominence,Hillnumber,Country,Type
1149.M,NN143542,Bidean nam Bian,1149.4,NN,14341,54210,56.64276,-5.02934,844,191,Scotland,Munro
0945.M,NH049412,Bidein a' Choire Sheasgaich,945,NH,04906,41264,57.41971,-5.25047,209,898,Scotland,Munro
0943.M,NN221677,Binnein Beag,943,NN,22173,67714,56.76696,-4.91116,197,320,Scotland,Munro
1130.M,NN212663,Binnein Mor,1130,NN,21219,66352,56.75438,-4.9258,759,287,Scotland,Munro
0929.M,NG529217,Blabheinn (Bla Bheinn),928.8,NG,52990,21743,57.21957,-6.09321,859,1255,Scotland,Munro
1296.M,NN953999,Braeriach,1296,NN,95327,99916,57.07831,-3.72839,461,519,Scotland,Munro
0998.m,NO240815,Broad Cairn,998,NO,24056,81567,56.91915,-3.24908,64,470,Scotland,Munro
0959.m,NG460252,Bruach na Frithe,958.8,NG,46084,25200,57.24676,-6.2108,126,1247,Scotland,Munro
0925.M,NN191547,Buachaille Etive Beag-Stob Coire Raineach,924.5,NN,19140,54796,56.6499,-4.9516,177,209,Scotland,Munro
0958.M,NN179535,Buachaille Etive Beag-Stob Dubh,958,NN,17910,53541,56.63816,-4.97075,469,202,Scotland,Munro
1021.M,NN222542,Buachaille Etive Mor-Stob Dearg,1021.4,NN,22263,54254,56.64623,-4.90038,532,196,Scotland,Munro
0953.m,NN190525,Buachaille Etive Mor-Stob na Broige,953.4,NN,19071,52568,56.62988,-4.95116,134,203,Scotland,Munro
1090.M,NJ041063,Bynack More,1090,NJ,04190,06373,57.13822,-3.58472,283,557,Scotland,Munro
1012.m,NO222825,Cairn Bannoch,1012,NO,22288,82555,56.92773,-3.2784,77,468,Scotland,Munro
1245.m,NJ005040,Cairn Gorm,1244.8,NJ,00516,04065,57.11671,-3.64448,145,525,Scotland,Munro
1063.m,NO185788,Cairn of Claise,1063.1,NO,18549,78891,56.89418,-3.33864,118,463,Scotland,Munro
1291.M,NN963972,Cairn Toul,1291,NN,96329,97229,57.05441,-3.71076,166,521,Scotland,Munro
0964.M,NN915758,Carn a' Chlamain,963.5,NN,91591,75807,56.86097,-3.77963,317,409,Scotland,Munro
1110.m,NO226845,Carn a' Choire Bhoidheach,1109.9,NO,22673,84557,56.94577,-3.27271,72.9,459,Scotland,Munro
0976.M,NO107767,Carn a' Gheoidh,976.1,NO,10703,76700,56.87307,-3.46662,299,428,Scotland,Munro
1037.M,NN994951,Carn a' Mhaim,1037,NN,99458,95199,57.03687,-3.65838,231,567,Scotland,Munro
0994.M,NN904841,Carn an Fhidhleir (Carn Ealar),994,NN,90476,84196,56.93603,-3.80154,286,408,Scotland,Munro
1029.M,NO028772,Carn an Righ,1029,NO,02871,77268,56.87658,-3.59527,258,426,Scotland,Munro
1047.m,NO208842,Carn an t-Sagairt Mor,1047,NO,20810,84280,56.94297,-3.30323,85,465,Scotland,Munro
1019.m,NO174804,Carn an Tuirc,1018.8,NO,17454,80481,56.90827,-3.35713,61.6,467,Scotland,Munro
0915.m,NO133791,Carn Aosda,915.3,NO,13397,79164,56.8957,-3.42327,120,438,Scotland,Munro
0945.M,NO051832,Carn Bhac,945.1,NO,05103,83227,56.93056,-3.5609,186,432,Scotland,Munro
1034.M,NN504764,Carn Dearg,1034,NN,50416,76444,56.85524,-4.45469,158,352,Scotland,Munro
0946.M,NH635023,Carn Dearg,945.7,NH,63568,02398,57.09226,-4.25325,591,621,Scotland,Munro
0941.M,NN417661,Carn Dearg,941,NN,41773,66143,56.75993,-4.58989,218,363,Scotland,Munro
1183.M,NH123261,Carn Eighe,1182.8,NH,12355,26197,57.2877,-5.11516,1147,803,Scotland,Munro
0956.m,NH145125,Carn Ghluasaid,956.3,NH,14576,12523,57.16596,-5.06816,62.7,871,Scotland,Munro
1030.M,NN635500,Carn Gorm,1029.5,NN,63516,50071,56.62254,-4.22602,188,109,Scotland,Munro
1006.m,NN472903,Carn Liath,1006,NN,47228,90326,56.97879,-4.51529,87,668,Scotland,Munro
1043.M,NN684512,Carn Mairg,1043,NN,68490,51260,56.63464,-4.14562,466,107,Scotland,Munro
1220.M,NN177721,Carn Mor Dearg,1220,NN,17748,72172,56.80525,-4.98662,162,282,Scotland,Munro
0941.M,NN677821,Carn na Caim,940.8,NN,67702,82151,56.91172,-4.17444,328,389,Scotland,Munro
0992.M,NH181343,Carn nan Gobhar,992.3,NH,18188,34362,57.3633,-5.02454,197,936,Scotland,Munro
0992.m,NH273438,Carn nan Gobhar,992,NH,27303,43890,57.45233,-4.87994,137,895,Scotland,Munro
0920.m,NH683058,Carn Sgulain,920.3,NH,68302,05821,57.12437,-4.17699,71.6,626,Scotland,Munro
1046.M,NN377741,Chno Dearg,1046,NN,37741,74114,56.83008,-4.66083,644,351,Scotland,Munro
0981.M,NH062166,Ciste Dhubh,981.1,NH,06236,16618,57.19923,-5.20903,390,834,Scotland,Munro
0978.M,NH275816,Cona' Mheall,978,NH,27509,81642,57.79108,-4.90342,165,1063,Scotland,Munro
0987.m,NC303199,Conival,987,NC,30330,19938,58.13569,-4.8835,101,1184,Scotland,Munro
0946.m,NH087077,Creag a' Mhaim,946.2,NH,08790,07772,57.12097,-5.16005,79.6,700,Scotland,Munro
0988.m,NO154745,Creag Leacach,988.2,NO,15467,74549,56.85464,-3.38777,70.7,472,Scotland,Munro
1128.M,NN418875,Creag Meagaidh,1128.1,NN,41839,87545,56.95202,-4.60212,867,658,Scotland,Munro
1047.M,NN391361,Creag Mhor,1046.8,NN,39150,36111,56.48952,-4.61404,394,148,Scotland,Munro
0917.M,NG983112,Creag nan Damh,917.2,NG,98348,11202,57.14726,-5.33496,196,708,Scotland,Munro
0925.m,NN487814,Creag Pitridh,924.5,NN,48750,81459,56.89971,-4.48497,104,367,Scotland,Munro
1100.M,NN238506,Creise,1099.8,NN,23854,50645,56.61445,-4.87199,169,235,Scotland,Munro
1046.M,NN409212,Cruach Ardrain,1045.9,NN,40927,21216,56.35644,-4.57615,549,30,Scotland,Munro
1155.m,NO017980,Derry Cairngorm,1155,NO,01734,98032,57.0628,-3.622,141,539,Scotland,Munro
0948.m,NO271735,Driesh,947.6,NO,27116,73590,56.848,-3.19654,136,483,Scotland,Munro
0985.m,NH074084,Druim Shionnach,985.2,NH,07441,08484,57.12679,-5.18284,101,692,Scotland,Munro
0927.M,NH257842,Eididh nan Clach Geala,927,NH,25787,84215,57.81349,-4.93422,166,1068,Scotland,Munro
0933.M,NH147621,Fionn Bheinn,933,NH,14750,62149,57.61115,-5.1027,658,1050,Scotland,Munro
0919.M,NN025995,Gairich,919,NN,02589,99580,57.04488,-5.25583,552,741,Scotland,Munro
1013.M,NM909961,Garbh Chioch Mhor,1012.9,NM,90956,96101,57.00856,-5.44432,169,732,Scotland,Munro
1050.M,NN504811,Geal Charn,1049.7,NN,50432,81181,56.89776,-4.45724,311,350,Scotland,Munro
0926.m,NN561987,Geal Charn,926,NN,56144,98768,57.05742,-4.37357,100,624,Scotland,Munro
1132.M,NN469746,Geal-charn,1132,NN,46992,74629,56.83784,-4.50969,410,346,Scotland,Munro
0917.M,NN596782,Geal-charn,917.1,NN,59644,78261,56.87443,-4.30452,178,392,Scotland,Munro
0998.M,NN153429,Glas Bheinn Mhor,997.7,NN,15328,42984,56.54243,-5.00525,231,245,Scotland,Munro
1068.M,NO166765,Glas Maol,1067.7,NO,16699,76576,56.87306,-3.36824,195,461,Scotland,Munro
1051.M,NO051760,Glas Tulaichean,1051,NO,05105,76011,56.86576,-3.55816,384,424,Scotland,Munro
1035.M,NH039053,Gleouraich,1035,NH,03945,05345,57.09716,-5.23804,768,683,Scotland,Munro
0987.M,NN002875,Gulvain (Gaor Bheinn),987,NN,00267,87575,56.93621,-5.28453,842,773,Scotland,Munro
1020.M,NG824039,Ladhar Bheinn,1020,NG,82400,03983,57.07526,-5.59175,795,731,Scotland,Munro
1024.M,NG911576,Liathach-Mullach an Rathain,1023.8,NG,91188,57689,57.56088,-5.4925,152,954,Scotland,Munro
1055.M,NG929579,Liathach-Spidean a' Choire Leith,1054.8,NG,92934,57970,57.5642,-5.46361,957,953,Scotland,Munro
1156.M,NO243861,Lochnagar-Cac Carn Beag,1155.7,NO,24372,86140,56.96027,-3.24526,671,457,Scotland,Munro
0939.M,NG869007,Luinne Bheinn,939,NG,86979,00740,57.04833,-5.51361,255,739,Scotland,Munro
0987.M,NH064404,Lurg Mhor,987,NH,06480,40451,57.41309,-5.22367,442,896,Scotland,Munro
1179.m,NH120253,Mam Sodhail,1179.4,NH,12007,25332,57.2798,-5.12027,132,804,Scotland,Munro
1005.m,NH135458,Maoile Lunndaidh,1004.9,NH,13506,45853,57.46448,-5.111,10.5,890,Scotland,Munro
0933.M,NG924499,Maol Chean-dearg,933,NG,92406,49911,57.4917,-5.46555,514,982,Scotland,Munro
0980.m,NH032087,Maol Chinn-dearg,980.3,NH,03221,08769,57.12756,-5.25265,137,693,Scotland,Munro
0929.m,NO240737,Mayar,928.6,NO,24081,73749,56.84894,-3.24632,112,486,Scotland,Munro
1108.M,NN250503,Meall a' Bhuiridh,1107.9,NN,25061,50346,56.61222,-4.85216,795,233,Scotland,Munro
0926.M,NN612438,Meall a' Choire Leith,925.6,NN,61249,43882,56.56631,-4.25962,150,163,Scotland,Munro
0934.m,NH184733,Meall a' Chrasgaidh,934,NH,18482,73320,57.71287,-5.04874,115,1049,Scotland,Munro
0946.M,NM848989,Meall Buidhe,946,NM,84898,98976,57.03154,-5.54633,496,737,Scotland,Munro
0932.M,NN498499,Meall Buidhe,932.1,NN,49840,49946,56.61723,-4.44861,321,123,Scotland,Munro
0951.M,NN716878,Meall Chuaich,950.8,NN,71648,87834,56.96385,-4.11257,466,388,Scotland,Munro
1069.M,NN615410,Meall Corranaich,1069,NN,61533,41048,56.54096,-4.25347,202,146,Scotland,Munro
1123.M,NN644437,Meall Garbh,1123.1,NN,64438,43758,56.56613,-4.2077,198,143,Scotland,Munro
0968.m,NN647516,Meall Garbh,967.5,NN,64707,51686,56.63738,-4.20747,102,118,Scotland,Munro
1040.M,NN514397,Meall Ghaordaidh,1039.8,NN,51442,39704,56.52581,-4.41665,492,150,Scotland,Munro
0959.M,NN431321,Meall Glas,959.3,NN,43147,32194,56.45571,-4.54684,554,158,Scotland,Munro
0950.m,NH221695,Meall Gorm,949.7,NH,22192,69584,57.68084,-4.9838,112,1047,Scotland,Munro
1001.M,NN674438,Meall Greigh,1001,NN,67400,43807,56.56742,-4.15956,167,154,Scotland,Munro
0981.m,NN694496,Meall na Aighean,981,NN,69477,49669,56.62063,-4.12874,136,115,Scotland,Munro
0917.M,NN220924,Meall na Teanga,916.8,NN,22023,92471,56.98901,-4.93096,305,759,Scotland,Munro
0977.m,NH257825,Meall nan Ceapraichean,977,NH,25727,82548,57.79851,-4.93401,126,1064,Scotland,Munro
0928.M,NN192449,Meall nan Eun,928.1,NN,19248,44903,56.56118,-4.94293,174,258,Scotland,Munro
1044.M,NN585390,Meall nan Tarmachan,1043.6,NN,58518,39000,56.52167,-4.30134,494,149,Scotland,Munro
1113.m,NN938942,Monadh Mor,1113,NN,93866,94217,57.0268,-3.75007,138,549,Scotland,Munro
0928.M,NH101499,Moruisg,928,NH,10114,49939,57.49971,-5.17063,594,899,Scotland,Munro
0939.M,NO409869,Mount Keen,939,NO,40905,86928,56.96976,-2.97362,312,485,Scotland,Munro
1019.m,NN882927,Mullach Clach a' Bhlair,1019,NN,88286,92702,57.01188,-3.84127,104,571,Scotland,Munro
1015.M,NH052735,Mullach Coire Mhic Fhearchair,1015.2,NH,05205,73508,57.709,-5.27136,591,1007,Scotland,Munro
1101.M,NH094171,Mullach Fraoch-choire,1100.9,NH,09492,17152,57.20539,-5.15564,151,864,Scotland,Munro
0982.m,NH080259,Mullach na Dheiragain,982,NH,08044,25917,57.2834,-5.18635,144,833,Scotland,Munro
0939.m,NN122662,Mullach nan Coirean,939.3,NN,12233,66243,56.74987,-5.07245,92.3,321,Scotland,Munro
1054.m,NN203652,Na Gruagaichean,1054.3,NN,20309,65201,56.7437,-4.93985,96.8,301,Scotland,Munro
0919.M,NH018756,Ruadh Stac Mor,918.7,NH,01853,75655,57.72678,-5.32929,167,1023,Scotland,Munro
0999.m,NH133154,Sail Chaorainn,999.2,NH,13313,15442,57.19162,-5.0912,87,867,Scotland,Munro
0956.m,NH017148,Saileag,956,NH,01774,14827,57.18126,-5.28133,91,839,Scotland,Munro
1083.M,NN713547,Schiehallion,1083.3,NN,71384,54769,56.66694,-4.10023,716,103,Scotland,Munro
0926.M,NH281878,Seana Bhraigh,926,NH,28181,87884,57.84733,-4.89662,251,1069,Scotland,Munro
0991.M,NN598731,Sgairneach Mhor,991,NN,59882,73130,56.82845,-4.29779,182,384,Scotland,Munro
0920.M,NN462317,Sgiath Chuil,920.1,NN,46291,31794,56.45316,-4.49564,311,165,Scotland,Munro
1258.m,NN954976,Sgor an Lochain Uaine,1258,NN,95422,97694,57.05838,-3.7259,118,523,Scotland,Munro
0955.M,NN444674,Sgor Gaibhre,955,NN,44477,67448,56.77255,-4.5465,300,361,Scotland,Munro
1116.M,NN903989,Sgor Gaoith,1116,NN,90300,98961,57.06856,-3.81086,240,548,Scotland,Munro
0961.M,NG959505,Sgorr Ruadh,960.7,NG,95907,50506,57.49862,-5.40775,723,981,Scotland,Munro
1036.M,NH035143,Sgurr a' Bhealaich Dheirg,1036,NH,03517,14360,57.17783,-5.25218,311,821,Scotland,Munro
1053.M,NH087447,Sgurr a' Chaorachain,1053,NH,08750,44738,57.4525,-5.18928,568,885,Scotland,Munro
1084.M,NH258430,Sgurr a' Choire Ghlais,1083.7,NH,25835,43056,57.44429,-4.90376,819,884,Scotland,Munro
0972.m,NG445231,Sgurr a' Ghreadaidh,972.1,NG,44525,23126,57.22731,-6.23443,123,1243,Scotland,Munro
0918.m,NG447235,Sgurr a' Mhadaidh,918,NG,44700,23512,57.23087,-6.23193,72.9,1259,Scotland,Munro
1099.M,NN164667,Sgurr a' Mhaim,1099,NN,16465,66730,56.75592,-5.00369,316,295,Scotland,Munro
1027.M,NG983065,Sgurr a' Mhaoraich,1027,NG,98392,06581,57.10585,-5.33051,708,684,Scotland,Munro
0992.M,NG450207,Sgurr Alasdair,992,NG,45002,20783,57.20659,-6.22414,992,1239,Scotland,Munro
